height,width,time,type,scrollX,scrollY
810,1535,11863.435,mousemove,0,810
810,1535,11875.435,mouseout,0,810
810,1535,12136.435,mouseover,0,810
810,1535,12136.435,mousemove,0,810
810,1535,12148.435,mousemove,0,810
810,1535,12161.435,mousemove,0,810
810,1535,12173.435,mousemove,0,810
810,1535,12186.435,mousemove,0,810
810,1535,12199.435,mousemove,0,810
810,1535,12211.435,mousemove,0,810
810,1535,12223.435,mousemove,0,810
810,1535,12236.435,mousemove,0,810
810,1535,12645.435,mousemove,0,810
810,1535,12658.435,mousemove,0,810
810,1535,12670.435,mousemove,0,810
810,1535,12683.435,mousemove,0,810
810,1535,12695.435,mousemove,0,810
810,1535,12708.435,mouseout,0,810
810,1535,12708.435,mouseover,0,810
810,1535,12708.435,mousemove,0,810
810,1535,12720.435,mousemove,0,810
810,1535,12732.435,mousemove,0,810
810,1535,12745.435,mousemove,0,810
810,1535,12757.435,mousemove,0,810
810,1535,12770.435,mousemove,0,810
810,1535,12782.435,mousemove,0,810
810,1535,12795.435,mousemove,0,810
810,1535,12807.435,mousemove,0,810
810,1535,12819.435,mousemove,0,810
810,1535,12832.435,mouseout,0,810
810,1535,12832.435,mouseover,0,810
810,1535,12832.435,mousemove,0,810
810,1535,12844.435,mousemove,0,810
810,1535,12857.435,mousemove,0,810
810,1535,12869.435,mousemove,0,810
810,1535,12882.435,mousemove,0,810
810,1535,12894.435,mouseout,0,810
810,1535,12894.435,mouseover,0,810
810,1535,12894.435,mousemove,0,810
810,1535,12907.435,mousemove,0,810
810,1535,12919.435,mousemove,0,810
810,1535,12932.435,mousemove,0,810
810,1535,13130.435,mousemove,0,810
810,1535,13144.435,mousemove,0,810
810,1535,13180.435,mousemove,0,810
810,1535,13192.435,mouseout,0,810
810,1535,13192.435,mouseover,0,810
810,1535,13192.435,mousemove,0,810
810,1535,13205.435,mousemove,0,810
810,1535,13217.435,mousemove,0,810
810,1535,13231.435,mouseout,0,810
810,1535,13231.435,mouseover,0,810
810,1535,13231.435,mousemove,0,810
810,1535,13242.435,mousemove,0,810
810,1535,13254.435,mousemove,0,810
810,1535,13267.435,mousemove,0,810
810,1535,13279.435,mousemove,0,810
810,1535,13292.435,mousemove,0,810
810,1535,13304.435,mousemove,0,810
810,1535,13317.435,mousemove,0,810
810,1535,13329.435,mousemove,0,810
810,1535,13342.435,mousemove,0,810
810,1535,13354.435,mousemove,0,810
810,1535,13367.435,mousemove,0,810
810,1535,13379.435,mousemove,0,810
810,1535,13392.435,mousemove,0,810
810,1535,13404.435,mousemove,0,810
810,1535,13417.435,mousemove,0,810
810,1535,13429.435,mousemove,0,810
810,1535,13442.435,mousemove,0,810
810,1535,13454.435,mousemove,0,810
810,1535,13467.435,mousemove,0,810
810,1535,13478.435,mousemove,0,810
810,1535,13491.435,mousemove,0,810
810,1535,13503.435,mousemove,0,810
810,1535,13516.435,mousemove,0,810
810,1535,13528.435,mousemove,0,810
810,1535,13541.435,mouseout,0,810
810,1535,13541.435,mouseover,0,810
810,1535,13541.435,mousemove,0,810
810,1535,13554.435,mousemove,0,810
810,1535,13565.435,mousemove,0,810
810,1535,13578.435,mousemove,0,810
810,1535,13591.435,mousemove,0,810
810,1535,13603.435,mousemove,0,810
810,1535,13615.435,mousemove,0,810
810,1535,13628.435,mousemove,0,810
810,1535,13640.435,mousemove,0,810
810,1535,13653.435,mousemove,0,810
810,1535,13665.435,mousemove,0,810
810,1535,13678.435,mousemove,0,810
810,1535,13690.435,mousemove,0,810
810,1535,13702.435,mouseout,0,810
810,1535,13702.435,mouseover,0,810
810,1535,13702.435,mousemove,0,810
810,1535,13715.435,mousemove,0,810
810,1535,13727.435,mousemove,0,810
810,1535,13740.435,mousemove,0,810
810,1535,13752.435,mouseout,0,810
810,1535,13752.435,mouseover,0,810
810,1535,13752.435,mousemove,0,810
810,1535,13764.435,mouseout,0,810
810,1535,13764.435,mouseover,0,810
810,1535,13764.435,mousemove,0,810
810,1535,13777.435,mouseout,0,810
810,1535,13777.435,mouseover,0,810
810,1535,13777.435,mousemove,0,810
810,1535,13789.435,mousemove,0,810
810,1535,13802.435,mouseout,0,810
810,1535,13802.435,mouseover,0,810
810,1535,13802.435,mousemove,0,810
810,1535,13814.435,mousemove,0,810
810,1535,13827.435,mousemove,0,810
810,1535,13839.435,mousemove,0,810
810,1535,13851.435,mousemove,0,810
810,1535,13863.435,mousemove,0,810
810,1535,13875.435,mousemove,0,810
810,1535,17405.435,mousemove,0,810
810,1535,17418.435,mousemove,0,810
810,1535,17430.435,mousemove,0,810
810,1535,17442.435,mousemove,0,810
810,1535,17455.435,mousemove,0,810
810,1535,17468.435,mousemove,0,810
810,1535,17481.435,mousemove,0,810
810,1535,17493.435,mousemove,0,810
810,1535,17506.435,mousemove,0,810
810,1535,17518.435,mousemove,0,810
810,1535,17530.435,mousemove,0,810
810,1535,17543.435,mouseout,0,810
810,1535,17543.435,mouseover,0,810
810,1535,17543.435,mousemove,0,810
810,1535,17554.435,mouseout,0,810
810,1535,17554.435,mouseover,0,810
810,1535,17554.435,mousemove,0,810
810,1535,17567.435,mousemove,0,810
810,1535,17580.435,mousemove,0,810
810,1535,17592.435,mouseout,0,810
810,1535,17592.435,mouseover,0,810
810,1535,17592.435,mousemove,0,810
810,1535,17605.435,mousemove,0,810
810,1535,17617.435,mousemove,0,810
810,1535,17629.435,mouseout,0,810
810,1535,17629.435,mouseover,0,810
810,1535,17629.435,mousemove,0,810
810,1535,17642.435,mouseout,0,810
810,1535,17642.435,mouseover,0,810
810,1535,17642.435,mousemove,0,810
810,1535,17654.435,mousemove,0,810
810,1535,17667.435,mousemove,0,810
810,1535,17679.435,mouseout,0,810
810,1535,17679.435,mouseover,0,810
810,1535,17679.435,mousemove,0,810
810,1535,17692.435,mouseout,0,810
810,1535,17692.435,mouseover,0,810
810,1535,17692.435,mousemove,0,810
810,1535,17704.435,mousemove,0,810
810,1535,17717.435,mouseout,0,810
810,1535,17717.435,mouseover,0,810
810,1535,17717.435,mousemove,0,810
810,1535,17729.435,mousemove,0,810
810,1535,17742.435,mousemove,0,810
810,1535,17754.435,mousemove,0,810
810,1535,17767.435,mousemove,0,810
810,1535,17779.435,mousemove,0,810
810,1535,17792.435,mousemove,0,810
810,1535,17804.435,mousemove,0,810
810,1535,17816.435,mousemove,0,810
810,1535,17829.435,mousemove,0,810
810,1535,17840.435,mousemove,0,810
810,1535,17853.435,mousemove,0,810
810,1535,17865.435,mousemove,0,810
810,1535,17878.435,mousemove,0,810
810,1535,81320.435,mousemove,0,810
810,1535,81333.435,mousemove,0,810
810,1535,81345.435,mousemove,0,810
810,1535,81358.435,mousemove,0,810
810,1535,81370.435,mousemove,0,810
810,1535,81383.435,mousemove,0,810
810,1535,81395.435,mousemove,0,810
810,1535,81408.435,mousemove,0,810
810,1535,81420.435,mouseout,0,810
810,1535,81420.435,mouseover,0,810
810,1535,81420.435,mousemove,0,810
810,1535,81433.435,mousemove,0,810
810,1535,81445.435,mouseout,0,810
810,1535,81445.435,mouseover,0,810
810,1535,81445.435,mousemove,0,810
810,1535,81457.435,mousemove,0,810
810,1535,81470.435,mousemove,0,810
810,1535,81482.435,mousemove,0,810
810,1535,81495.435,mousemove,0,810
810,1535,81507.435,mousemove,0,810
810,1535,81520.435,mousemove,0,810
810,1535,81532.435,mouseout,0,810
810,1535,81532.435,mouseover,0,810
810,1535,81532.435,mousemove,0,810
810,1535,81544.435,mousemove,0,810
810,1535,81556.435,mousemove,0,810
810,1535,81568.435,mousemove,0,810
810,1535,81581.435,mousemove,0,810
810,1535,81594.435,mousemove,0,810
810,1535,81607.435,mousemove,0,810
810,1535,81620.435,mousemove,0,810
810,1535,81631.435,mouseout,0,810
810,1535,81631.435,mouseover,0,810
810,1535,81631.435,mousemove,0,810
810,1535,81643.435,mousemove,0,810
810,1535,81656.435,mousemove,0,810
810,1535,81668.435,mousemove,0,810
810,1535,81682.435,mouseout,0,810
810,1535,81682.435,mouseover,0,810
810,1535,81682.435,mousemove,0,810
810,1535,81693.435,mousemove,0,810
810,1535,81706.435,mouseout,0,810
810,1535,81706.435,mouseover,0,810
810,1535,81706.435,mousemove,0,810
810,1535,81855.435,mousemove,0,810
810,1535,81867.435,mouseout,0,810
810,1535,81867.435,mouseover,0,810
810,1535,81867.435,mousemove,0,810
810,1535,81880.435,mousemove,0,810
810,1535,81892.435,mousemove,0,810
810,1535,81905.435,mousemove,0,810
810,1535,81917.435,mousemove,0,810
810,1535,81930.435,mousemove,0,810
810,1535,81943.435,mousemove,0,810
810,1535,81955.435,mousemove,0,810
810,1535,81967.435,mousemove,0,810
810,1535,81980.435,mousemove,0,810
810,1535,81992.435,mousemove,0,810
